lossf;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'MSE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.00858253426849842, 0.007196622900664806, 0.005449873860925436, 0.007094142027199268, 0.0072302985936403275, 0.007124464493244886, 0.0070901475846767426, 0.006944949738681316, 0.007916489616036415, 0.006991052068769932];[0.00042001527617685497, 0.0004436940071173012, 0.00039604230551049113, 0.00042438559466972947, 0.00015277265629265457, 0.0006482987082563341, 0.0006545060314238071, 0.0007657204405404627, 0.0006507920334115624, 0.0003581878263503313];[0.9957956542432453, 0.9279777930134968, 0.8831361574353594, 0.922793201604553, 0.9444058084937367, 0.9125974407757929, 0.9123770295948703, 0.9327813195899369, 0.9625560812111823, 0.9610024351500154];[0.7592484817795281, 0.13633361059572513, 0.7106674243209055, -0.059113539551242544, -0.7103416465838719, 0.5331924786025418, 0.6881675462599286, 0.7833639704911728, 0.7968335613173101, -0.4372822087808339];0.01;0.007162057515233755;0.000749127620256341;0.0004914414879749529;0.00017471345438383184;0.935542292111219;0.03020575395930367;0.32010696784511633;0.5273685249461343
'MSE';['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.0032880217768251896, 0.0044720470905303955, 0.0037832111120224, 0.004110175184905529, 0.003976370207965374, 0.004190207924693823, 0.0029102442786097527, 0.0032796773593872786, 0.0038452891167253256, 0.0037355953827500343];[0.009660795331001282, 0.009571492671966553, 0.011306936852633953, 0.010496790520846844, 0.00991339236497879, 0.008307712152600288, 0.01098148338496685, 0.0090415608137846, 0.010647544637322426, 0.009007016196846962];[0.9490216958295745, 0.9473468749767425, 0.9084533802337095, 0.9248249861132987, 0.9354429234590796, 0.9252840521064843, 0.694787737085271, 0.86477032587018, 0.9608077560371874, 0.8936004446383753];[0.6448017739046416, 0.618264616541699, 0.7461742875982151, 0.6212896974787374, 0.7199959817499655, 0.7234870694467826, 0.6433376899676737, 0.6541915169021877, 0.6840081498261678, 0.6028334100286348];0.01;0.00375908394344151;0.0004522705933169536;0.009893472492694854;0.0009109702101653865;0.9004340176349903;0.0737007011493977;0.6658384193444704;0.047267705043094056
'MSE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.005502775777131319, 0.007228540256619453, 0.005196842830628157, 0.007041920907795429, 0.006322021596133709, 0.005725161172449589, 0.004668716341257095, 0.005733095109462738, 0.005507004447281361, 0.005854031536728144];[0.005343274213373661, 0.005398462992161512, 0.005705609917640686, 0.004901345353573561, 0.00469970703125, 0.006234222091734409, 0.00461579579859972, 0.006289424374699593, 0.00455651618540287, 0.004766223486512899];[0.9853259007426151, 0.9672696036819806, 0.8291413263446079, 0.8443135031485615, 0.9991567567392762, 0.8680618724537169, 0.8247993537392307, 0.9547493009242569, 0.9197308365736537, 0.7903891038957722];[0.7608275226305489, 0.6709600016357822, 0.6330515938630226, 0.785562717013805, 0.6501394725821232, 0.7477459021929929, 0.5432237632153762, 0.7085500919311316, 0.7276452542569405, 0.7546505306832304];0.01;0.005878010997548699;0.0007500353749637851;0.005251058144494891;0.0006187861985345724;0.8982937558243673;0.07197716151224778;0.6982356850004954;0.07034474039836637
'BCE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.09992575645446777, 0.08856939524412155, 0.11083102226257324, 0.09337963163852692, 0.091769739985466, 0.11419762670993805, 0.10313405096530914, 0.11230459809303284, 0.101376011967659, 0.10203555226325989];[0.003343988675624132, 0.0020699757151305676, 0.0027785091660916805, 0.006757468916475773, 0.005280106794089079, 0.004326382651925087, 0.0028098775073885918, 0.003257840871810913, 0.002182031748816371, 0.005023547448217869];[0.979878943796462, 0.976131929204336, 0.984217111253704, 0.9237551998156422, 0.9465627655005623, 0.9130159277033219, 0.9723819672611349, 0.9934042022042998, 0.9263545577947561, 0.8949640376157092];[-0.999206141164003, -4.6727028550928775, -0.5654802622711543, 0.415371242996303, -0.1398592511026142, -0.4637959457876437, -1.546096189384763, 0.09050602783044004, -2.0117758545672175, 0.6584490369755789];0.01;0.10175233855843543;0.008352662624497223;0.0037829729495570063;0.0014437818593574664;0.9510666642149929;0.03282747176510739;-0.9234590191567952;1.4802422018407908
'BCE';['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.0428754985332489, 0.05508999526500702, 0.05220657214522362, 0.04225604981184006, 0.04030589386820793, 0.051188718527555466, 0.05241554602980614, 0.048697810620069504, 0.035058364272117615, 0.053019553422927856];[0.12364112585783005, 0.12071316689252853, 0.1267339289188385, 0.12970812618732452, 0.12698552012443542, 0.1280096173286438, 0.13375255465507507, 0.12086676061153412, 0.11732667684555054, 0.10557155311107635];[0.9007508967814895, 0.9885512432521274, 0.9199065831759046, 0.9782450834999047, 0.9505804421921961, 0.9962044185392684, 0.9758761596066197, 0.9476057715392459, 0.8577609975564484, 0.9934427643446713];[0.584651031328524, 0.6635639296880409, 0.6516572018330538, 0.7210606297815908, 0.6641316638590655, 0.6658942087670112, 0.6118576785334886, 0.6804655040080738, 0.7211622634018069, 0.6969946981832409];0.01;0.04731140024960041;0.006360095111332763;0.12333090305328369;0.007487142290298351;0.9508924360487876;0.04337384822500058;0.6661438809383896;0.041241315700675824
'BCE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.08028586208820343, 0.07075970619916916, 0.06118445098400116, 0.07183967530727386, 0.06554587930440903, 0.0782095268368721, 0.07419158518314362, 0.06808777153491974, 0.07050690799951553, 0.07095804065465927];[0.062380142509937286, 0.06178142502903938, 0.057339146733284, 0.07153065502643585, 0.059041790664196014, 0.0652872771024704, 0.058909427374601364, 0.06275937706232071, 0.06537412852048874, 0.06583376228809357];[0.9712013178259443, 0.9463219324680845, 0.9721383668082265, 0.9673390223981075, 0.8696988551453722, 0.9522494025241185, 0.9910658561665036, 0.983684810487319, 0.991079097683842, 0.9114395449367485];[0.8366406921438962, 0.7912114224303295, 0.8379210998010629, 0.76671176821307, 0.7452166128649382, 0.8008125860766151, 0.8156050833703603, 0.8706154417173226, 0.756345506599989, 0.7404988402944428];0.01;0.07115694060921669;0.005326590185907879;0.06302371323108673;0.0039753905017047815;0.9556218206444266;0.03658760719907813;0.7961579053512027;0.041828603284797296
'KLD';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[-4648.19482421875, -4266.06005859375, -4680.7353515625, -4765.9501953125, -4109.5048828125, -4498.5478515625, -5109.01171875, -4100.3291015625, -5817.7568359375, -4674.0791015625];[-107.38900756835938, -254.55682373046875, -67.32391357421875, -112.91050720214844, 0.0, -180.0269775390625, -55.4053955078125, -122.42121124267578, -481.7837219238281, -634.30810546875];[-26.152517421346282, -28.269927729988254, -24.787881429877444, -24.579748602140075, -29.62153614872982, -26.673918170655686, -22.779925045493222, -29.527389910215284, -19.523568232005847, -26.332972508007895];[-1204.630661957544, -522.3071000795168, -1963.171678131203, -1162.0753227721868, -924996249999999.0, -724.1676041135731, -2341.0155753816193, -1060.4861710009327, -274.087116488251, -206.6433258864788];0.01;-4667.0169921875;484.875744617507;-201.61256637573243;192.8899554288011;-25.824938519845983;2.946044889529107;-92499625000945.75;277498874999684.4
'KLD';['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[-2553.26025390625, -2664.20166015625, -2467.6748046875, -2820.403076171875, -2395.972412109375, -1849.410400390625, -2913.37744140625, -2433.90478515625, -2829.31103515625, -3118.591552734375];[-5861.677734375, -5010.8095703125, -6372.56787109375, -6745.1708984375, -6348.5654296875, -6293.6494140625, -5872.48779296875, -4855.55224609375, -6166.3916015625, -5667.1337890625];[-45.38972937627234, -42.98209502060404, -48.30879367303582, -39.292047976119235, -49.89994352632157, -59.37223368008208, -39.60969921324261, -48.12011451632173, -41.957713478218764, -36.14862713739764];[-18.610050236743632, -23.72226691157633, -18.04401706617707, -16.62773987351778, -18.018949133942723, -18.193232135462893, -18.9259791883352, -23.74215869800437, -18.231003715960217, -19.41599741267034];0.01;-2604.6107421875;335.3367166218868;-5919.400634765625;574.3682273603368;-45.10809975976158;6.360810634705081;-19.353139437239054;2.2938527628649195
'KLD';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[-2603.091796875, -3711.667236328125, -3678.9052734375, -4657.44970703125, -4989.880859375, -4259.72412109375, -3742.608154296875, -2878.347900390625, -3638.33056640625, -3275.373291015625];[-3060.32080078125, -2597.48486328125, -3565.78955078125, -3312.1494140625, -2579.7197265625, -2972.794189453125, -3134.7890625, -2888.05517578125, -2696.287109375, -2942.263671875];[-45.70920972160723, -32.81973212537608, -33.074085564307985, -26.130889738842335, -24.060886624897176, -29.486211037198462, -33.203364898220414, -42.35073455557218, -33.01375427074184, -35.8592598660108];[-40.63195440040505, -47.31098185401451, -35.58976211139469, -37.79474478035325, -48.27031568715762, -42.442280890513864, -38.253867326786356, -42.06345951885883, -47.4568099002002, -42.75135170566598];0.01;-3743.537890625;702.8275387328385;-2974.9653564453124;296.74823940719045;-33.57081284027745;6.272128910497082;-42.25655281753503;4.148331191893669
'MSE+BCE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.09538368135690689, 0.09188088774681091, 0.10892272740602493, 0.082856684923172, 0.11476339399814606, 0.09049450606107712, 0.08800201863050461, 0.0978425145149231, 0.10046599060297012, 0.09570303559303284];[0.0006402167491614819, 0.00446605309844017, 0.006409488618373871, 0.0056686620227992535, 0.007087113801389933, 0.0014343078946694732, 0.0007024102378636599, 0.010341493412852287, 0.003966364078223705, 0.005516239441931248];[0.9308534226069536, 0.9798158948536922, 0.9285914657948988, 0.9412154452331974, 0.9933478777684083, 0.9959576613008103, 0.9568213758318408, 0.9253569446671659, 0.9973778403228021, 0.9976236068378228];[-669719421385.7188, 0.5943534488478652, 0.4911860529142491, 0.9818969034534338, 0.4026102253418844, -1.2433457272413841, -730593383788.0625, 0.8049666417317904, 0.06728443615256863, 0.2909301712904714];0.01;0.09663154408335686;0.009071236483752746;0.004623234935570509;0.0029276782174551793;0.9646961535217592;0.029646125603934804;-140031280517.1391;280393152659.5141
'MSE+BCE';['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.05052774399518967, 0.05970204249024391, 0.039562396705150604, 0.06519002467393875, 0.0553053542971611, 0.05506113916635513, 0.05547130107879639, 0.0640924721956253, 0.05056144669651985, 0.05116650462150574];[0.12439249455928802, 0.14892441034317017, 0.13135957717895508, 0.12081382423639297, 0.13581517338752747, 0.12320876866579056, 0.13496184349060059, 0.10984236747026443, 0.10615840554237366, 0.14648573100566864];[0.9529585576299151, 0.958113182212416, 0.7807630029950109, 0.963758061927359, 0.8892883451177667, 0.8584429989930048, 0.8889372637242811, 0.9991580341679744, 0.7931074667485652, 0.8540352285911378];[0.680051052292223, 0.6534842896039051, 0.6900459793380047, 0.6850501565076274, 0.6055707779211461, 0.6084583387876668, 0.6786147334958968, 0.6043607784452404, 0.6670844101098657, 0.5617734541251274];0.01;0.05466404259204864;0.007074789033759208;0.12819625958800315;0.013395390857660778;0.8938562142107432;0.07030081029611628;0.6434493970626705;0.04242110717040335
'MSE+BCE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.0889989584684372, 0.07060132920742035, 0.08824200183153152, 0.07936973869800568, 0.078668974339962, 0.07782277464866638, 0.06975683569908142, 0.07206764817237854, 0.06984752416610718, 0.07473623752593994];[0.07890909165143967, 0.07305403798818588, 0.07312379032373428, 0.0632837563753128, 0.06041334569454193, 0.07932935655117035, 0.0591469407081604, 0.05260751023888588, 0.0656042993068695, 0.08357164263725281];[0.9777108199704887, 0.9949731235497111, 0.8256317977704739, 0.9219763333530293, 0.9371569418780351, 0.8740449335691857, 0.9262332030306947, 0.9623035784422631, 0.950764544223825, 0.9724659856860254];[0.7957934300573837, 0.822109702770474, 0.8295170604732883, 0.7104642124264667, 0.8054282577650395, 0.7731969555417348, 0.8346499472537063, 0.7667144005127788, 0.7757584257941385, 0.8444589861602849];0.01;0.07701120227575302;0.006733880695491427;0.06890437714755535;0.00966592603490533;0.9343261261473732;0.048725972301979;0.7958091378755295;0.038522058060410966
'MSE+BCE+KLD';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[-4254.9697265625, -4358.2822265625, -4454.34423828125, -5359.27978515625, -5397.80908203125, -5644.70751953125, -4710.63037109375, -4756.8515625, -4608.0361328125, -6257.41650390625];[-139.3955078125, -81.02606964111328, -191.7371063232422, -62.54893493652344, -178.77224731445312, -96.83899688720703, -167.35452270507812, -146.7400360107422, -164.19976806640625, 2.790330410003662];[-28.13004435193596, -27.70390506990029, -27.134884220538293, -21.012856316342752, -21.849434630373818, -20.917180216206514, -25.478321195125805, -24.040909701792685, -25.961263043290487, -19.060428920534907];[-878.6572826333983, -1527.6470120867125, -662.4446705673455, -1910.1165366775879, -695.6100036415614, -1251.9909388263907, -738.7748594528962, -851.9965146411596, -763.9220472907059, -891872687499999.0];0.01;-4980.23271484375;619.7801434003316;-122.5822859287262;58.527329061467235;-24.128922766604152;3.0646733324027178;-89187268750928.02;267561806249690.3
'MSE+BCE+KLD';['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[-2085.541748046875, -2286.427978515625, -2410.36865234375, -2050.867919921875, -2882.799072265625, -2126.058349609375, -2529.2314453125, -1960.5538330078125, -2212.2109375, -2284.718994140625];[-5393.6611328125, -5594.62255859375, -5102.04296875, -6358.4267578125, -4675.6171875, -4455.9716796875, -6305.12158203125, -6050.45068359375, -6263.70654296875, -5230.0419921875];[-45.422366264791364, -42.442353836817986, -38.53717687002045, -43.63401284595802, -34.27339580283299, -47.05066566167158, -37.847224511996856, -50.46485649169094, -40.900281923950324, -40.465386186467065];[-18.62112961466323, -19.291241761072172, -19.44640744086293, -16.844609638702067, -21.24592200906026, -23.828395704566283, -16.210313677196268, -17.725021674283244, -17.01743278024684, -20.332240933123167];0.01;-2282.877893066406;257.5101065392334;-5542.96630859375;653.7591701547491;-42.103772039619756;4.518131456070797;-19.056271523377646;2.202557963998878
'MSE+BCE+KLD';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[-3678.849853515625, -3941.5244140625, -3371.09912109375, -2981.085693359375, -3480.0224609375, -4714.14306640625, -2852.2724609375, -4462.2822265625, -2987.6220703125, -3604.461669921875];[-2939.10498046875, -2942.519287109375, -2601.2255859375, -2827.0185546875, -2377.102294921875, -3484.239013671875, -2520.2216796875, -2599.236572265625, -3618.42919921875, -2578.661865234375];[-29.812700406196736, -29.897006696337144, -31.891431726655902, -36.520226977251085, -34.00216478184674, -25.86354575063193, -36.672975170444566, -27.22668462144276, -37.231877286728796, -30.078422782102226];[-35.04230173357923, -33.88145895632419, -37.621654827953265, -34.69860872358312, -38.56954946475998, -28.814005384784846, -37.1325893737097, -38.01210997308754, -28.80431047699362, -38.56780547533981];0.01;-3607.3363037109375;590.8579923376495;-2848.7759033203124;392.496701716646;-31.919703619963787;3.8332439841527;-35.114439439011534;3.5189576816508765
