model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'resnet34';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004609236493706703, 0.003522277344018221, 0.004687993321567774, 0.004467471968382597, 0.0045908670872449875, 0.002983027370646596, 0.0041630929335951805, 0.0043389517813920975, 0.004165160935372114, 0.0034704385325312614];[0.015544814988970757, 0.016165103763341904, 0.014241992495954037, 0.015025929547846317, 0.015887215733528137, 0.014941846951842308, 0.01627892255783081, 0.01611454412341118, 0.015339590609073639, 0.01648237183690071];[0.9102995783484611, 0.8545639725323706, 0.8390912660074525, 0.9804093108767902, 0.7929840821936018, 0.8778021179482141, 0.7855055419070484, 0.8334826323708501, 0.9651546180430844, 0.8160238817675498];[0.5689025012589446, 0.5475267209051992, 0.5687364610050792, 0.5270265560700236, 0.5442175705810548, 0.5744535196236311, 0.5236089016229513, 0.5018895266492808, 0.536723734913064, 0.5223503528358887];0.01;0.004099851776845753;0.000549918854086372;0.01560223326086998;0.0006770392865718707;0.8655317001995423;0.06421932310035643;0.5415435845465117;0.022606253939138215
'resnet34';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004604913294315338, 0.003376598469913006, 0.005107799544930458, 0.004724888596683741, 0.005133354105055332, 0.005182558670639992, 0.004875702317804098, 0.006170903332531452, 0.004618444480001926, 0.005059979856014252];[0.011674011126160622, 0.009362946264445782, 0.009908901527523994, 0.01142807211726904, 0.011572658084332943, 0.008782805874943733, 0.010056396946310997, 0.009342224337160587, 0.00989028625190258, 0.009870457462966442];[0.8746119866284687, 0.9419375708116059, 0.6199474202041808, 0.6703448091293387, 0.8712184550919416, 0.7376236432988408, 0.7121269136147854, 0.8655402838821029, 0.8183515329632232, 0.8051190743873282];[0.9141173074318013, 0.9545260599503802, 0.921500890931658, 0.9481398783393384, 0.9782618306680921, 0.9308075733357927, 0.9121640336654065, 0.8931931073497928, 0.8899057936184384, 0.9298214242271596];0.01;0.0048855142667889595;0.0006583707875804246;0.010188875999301673;0.0009653279746836711;0.7916821690011815;0.09777209697557954;0.9272437899517861;0.02605650289886036
'resnet34';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005081521347165108, 0.007448728196322918, 0.006324403919279575, 0.006119112484157085, 0.006583552807569504, 0.006795936729758978, 0.005060266703367233, 0.00850656908005476, 0.006432432681322098, 0.0060850088484585285];[0.0005991240032017231, 0.0012845945311710238, 0.00043259625090286136, 0.00027190777473151684, 0.001310945488512516, 0.0005358050111681223, 0.0008644565241411328, 0.0005300977500155568, 0.0013118726201355457, 0.0013874482829123735];[0.9345495006264312, 0.9392733015959392, 0.9014073004228096, 0.8193041559624383, 0.8383557830165839, 0.9125560747859973, 0.9504669320132595, 0.9343868081800422, 0.8425059532841567, 0.8543707169926323];[0.346269409661486, 0.47439440439900293, 0.713598844482851, 0.18800185812427506, 0.31016357845397924, 0.5427383431674256, 0.29696581504950836, 0.5465521966840957, 0.32777676768773445, 0.5149444538516572];0.01;0.006443753279745579;0.000970923956007425;0.0008528848236892372;0.00040939676475897026;0.8927176526880289;0.046684215006976636;0.4261405671562016;0.14961366524347885
'resnext50_32x4d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0049136048182845116, 0.006935154553502798, 0.005053344182670116, 0.007109653204679489, 0.005113502964377403, 0.00596263213083148, 0.005688805598765612, 0.006344222463667393, 0.007000966463238001, 0.005083363503217697];[0.023720633238554, 0.0191191416233778, 0.021926535293459892, 0.025575585663318634, 0.018069598823785782, 0.020552847534418106, 0.024446554481983185, 0.023483458906412125, 0.02298230677843094, 0.021009176969528198];[0.042539276821685346, 0.023237645618285785, 0.043366610845219755, 0.04047273935069606, 0.008687436656454883, 0.03539126296669548, 0.010692157574041405, 0.045370606201111996, 0.03594815418247843, 0.025987982524418918];[0.011756005660033209, 0.011961237258278135, 0.012501802447164923, 0.012053220997631509, 0.013221630010127994, 0.013749108594505288, 0.013295878345533807, 0.013046409849606921, 0.01244578820020581, 0.011874701787217945];0.01;0.00592052498832345;0.0008344970919990668;0.022088583931326865;0.002272595481103725;0.031169387274108805;0.012733612991638825;0.012590578315030554;0.0006609317873406043
'resnext50_32x4d';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.005689403507858515, 0.004591774195432663, 0.004734814632683992, 0.003862073877826333, 0.004330185241997242, 0.004733390640467405, 0.004711800254881382, 0.004471472464501858, 0.0042736465111374855, 0.003873346606269479];[0.009551775641739368, 0.010252480395138264, 0.012688546441495419, 0.011139225214719772, 0.010666649788618088, 0.010636629536747932, 0.011432420462369919, 0.010694922879338264, 0.009745582938194275, 0.00905865989625454];[0.764772217049974, 0.9099134093051012, 0.8422403561134603, 0.9416400072111487, 0.8192052721497957, 0.9091037870369687, 0.9226753513078142, 0.8716249258745126, 0.8179224753758648, 0.9093094118827681];[0.8505710452085861, 0.909053999976855, 0.9616153648329983, 0.9192761839313708, 0.850181497479889, 0.9186313070610082, 0.9624470641090099, 0.9184087361461843, 0.804806910045422, 0.8203923238343154];0.01;0.004527190793305635;0.000495046387044543;0.010586689319461584;0.0009840751209496655;0.8708407213307409;0.054502870453170066;0.8915384432625639;0.05333279869994348
'resnext50_32x4d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.010592145845293999, 0.009777901694178581, 0.009169251658022404, 0.012433701194822788, 0.010744335129857063, 0.011406400240957737, 0.009587695822119713, 0.011832104995846748, 0.010998588055372238, 0.011716771870851517];[0.0004224400909151882, 0.0006616045720875263, 0.0002475896617397666, 0.001257596304640174, 0.0008430072339251637, 0.0002778292400762439, 0.00028035262948833406, 0.0010472016874700785, 0.0006178529001772404, 0.000858295476064086];[4.317214565063843e-06, 8.52669706252751e-06, 5.328131509996226e-06, 3.7625477656844097e-06, 4.185395071298892e-06, 1.4048896935792143e-05, 1.1080873681068582e-05, 1.3820143949683228e-05, 3.6245514317245764e-05, 4.1811958245707714e-06];[1.1593267884912883e-05, 1.1409900488756897e-05, 1.571491306584516e-05, 5.199345271433842e-06, 1.2359144606066685e-05, 1.4433768412147607e-05, 1.0870338898349985e-05, 8.111518050468725e-06, 1.0101490719449657e-05, 4.806563389525564e-06];0.01;0.010825889650732279;0.0010097106098357993;0.0006513769796583802;0.0003313002014273537;1.0549661068293138e-05;9.385233363648396e-06;1.04600250786957e-05;3.3859476081859677e-06
'timm-resnest50d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.003195979632437229, 0.003962568938732147, 0.00371117377653718, 0.0036056186072528362, 0.0028996546752750874, 0.0029844362288713455, 0.003701477311551571, 0.0032539903186261654, 0.003314165398478508, 0.0021605798974633217];[0.012993160635232925, 0.013492572121322155, 0.012795509770512581, 0.013142669573426247, 0.013202807866036892, 0.01201843935996294, 0.012041933834552765, 0.012288362719118595, 0.012455139309167862, 0.014555105939507484];[0.8441461772107807, 0.8746849964126355, 0.9428016854735571, 0.9356134891693757, 0.9491867089383973, 0.8121780948682304, 0.8381167425655311, 0.8694035745478753, 0.9236626448800114, 0.9824253639554014];[0.73373718663491, 0.7561171267753606, 0.73269410390982, 0.7127645337944657, 0.7324136938157089, 0.7206405908941371, 0.76063663912849, 0.7401260138641946, 0.7278266720142872, 0.7384605568076681];0.1;0.003278964478522539;0.0004928991920404052;0.012898570112884044;0.0007311705058168781;0.8972219478021797;0.053884309052881454;0.7355417117639043;0.013799106202739483
'timm-resnest50d';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004383225459605455, 0.00441146083176136, 0.0038233287632465363, 0.005380500108003616, 0.004242400638759136, 0.003578809555619955, 0.005092746578156948, 0.00459642056375742, 0.004125827923417091, 0.004264167044311762];[0.008840132504701614, 0.00956164300441742, 0.009243353269994259, 0.006628921255469322, 0.008985725231468678, 0.008125124499201775, 0.01049022376537323, 0.009376786649227142, 0.009105004370212555, 0.00930077489465475];[0.9779019724151006, 0.9981251165495626, 0.998112412589709, 0.8392694921332147, 0.9081268955330798, 0.8491741050100577, 0.9168121431909925, 0.9070307185789279, 0.9403735753560389, 0.9997869550191031];[0.9508794532174535, 0.9504349617640793, 0.9050880662522102, 0.897937847000972, 0.90392566853379, 0.9483682445059846, 0.978346507309845, 0.9879586946637597, 0.9071514513127766, 0.9448305621703397];0.1;0.004389888746663928;0.0005103539577559946;0.008965768944472074;0.0009612676771571686;0.9334713386375786;0.05690083476189397;0.9374921456731211;0.03065397663322635
'timm-resnest50d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.007776191458106041, 0.010531226173043251, 0.009282187558710575, 0.008663883432745934, 0.011297639459371567, 0.01011340506374836, 0.010267827659845352, 0.010355132631957531, 0.013326147571206093, 0.009987182915210724];[0.0007160251843743026, 0.0009723855182528496, 0.0003385434683877975, 0.0011729637626558542, 0.0008783172816038132, 0.001206695451401174, 0.00033219996839761734, 0.0011391134466975927, 0.00042172500980086625, 0.0005086713354103267];[2.6888365742827602e-05, 2.631667561980855e-05, 2.5289379197324102e-05, 2.0833025909827718e-05, 2.1153736990631167e-05, 1.5761175926498616e-05, 2.3213411128319983e-05, 2.034407632345303e-05, 1.563662552261924e-05, 1.771522410698445e-05];[2.5454762190957325e-05, 2.574933985621808e-05, 2.581689203839943e-05, 1.521309410890126e-05, 3.0897015150799234e-05, 1.8265853381160824e-05, 3.223430420651319e-05, 2.502893398792505e-05, 3.961600514212904e-05, 4.193556770870632e-05];0.1;0.010160082392394543;0.001422312405778129;0.0007686640426982194;0.00033351569052935776;2.1315169646829447e-05;3.908031497182935e-06;2.8021176777170974e-05;7.99277573835662e-06
'timm-res2net50_26w_4s';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.00456328596919775, 0.005588334985077381, 0.007187517359852791, 0.004201308824121952, 0.005668644793331623, 0.005322908982634544, 0.00336545892059803, 0.00550456065684557, 0.004656484350562096, 0.006246255710721016];[0.021832110360264778, 0.023612186312675476, 0.022849902510643005, 0.023780569434165955, 0.023862028494477272, 0.02136986330151558, 0.02429751120507717, 0.02286546491086483, 0.02348259463906288, 0.023247238248586655];[8.475528925278031e-05, 0.0001236510733000351, 2.8697395973886763e-05, 0.00011829663760454245, 2.3756958286047514e-05, 0.0002922188694977068, 6.963804376258764e-05, 7.878983219888891e-05, 0.00010685821823319674, 6.29791012712877e-05];[1.1074555529844154e-05, 1.4675503746897078e-05, 1.0436733486440808e-05, 1.0184352706388289e-05, 1.0060259637567626e-05, 1.1355220606468208e-05, 1.1516763972263533e-05, 1.3016417577782491e-05, 1.4038951693051693e-05, 1.3354091895512177e-05];0.01;0.005230476055294276;0.0010284757283536778;0.02311994694173336;0.0008730854275123324;9.8964141938096e-05;7.193766026832126e-05;1.1971285085221605e-05;1.586907160167237e-06
'timm-res2net50_26w_4s';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.00596507266163826, 0.008666839450597763, 0.006902996450662613, 0.00738048180937767, 0.007563349790871143, 0.0069332001730799675, 0.0061984374187886715, 0.0074830991216003895, 0.006651687435805798, 0.006658431142568588];[0.015181878581643105, 0.014250196516513824, 0.017888564616441727, 0.015204869210720062, 0.01760232448577881, 0.01555753592401743, 0.014517090283334255, 0.013885335065424442, 0.014186220243573189, 0.015194840729236603];[0.0003914125310411354, 0.00045638965159888745, 0.0002490000259265379, 0.0003772523557155072, 0.00032115436795143726, 0.00038854070888005854, 0.00041033506219678717, 0.00028366389098788414, 0.0005418461813175846, 0.0003375493848843947];[0.0002473754219630697, 0.00024231170014810122, 0.000236215381095084, 0.00023848413651550437, 0.00023022094802005455, 0.00023910265184801105, 0.00025881895574098035, 0.0002608400409207512, 0.0002626894215277398, 0.00024099706468905246];0.01;0.007040359545499086;0.000736411500444071;0.015346885565668345;0.0013052427058173588;0.00037571441605002145;8.042596616940742e-05;0.00024570557224683486;1.0730917583217872e-05
'timm-res2net50_26w_4s';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005834547337144613, 0.006464899983257055, 0.005618946626782417, 0.00532131502404809, 0.006730728782713413, 0.005595427006483078, 0.006476179696619511, 0.007045906037092209, 0.006473296321928501, 0.006489924155175686];[0.0008874776540324092, 0.0007527581183239818, 0.0010269114281982183, 0.0005541957798413932, 0.0002409276203252375, 0.000559880631044507, 0.0008625268819741905, 0.0012455480173230171, 0.0002826304407790303, 0.00014428541180677712];[0.9036773992063822, 0.9083649698435152, 0.8868920867906654, 0.9155761090940004, 0.8345056765264378, 0.8689230779874397, 0.9288765872184045, 0.903902990309516, 0.9470965135481877, 0.9420186331171693];[0.45488470741323384, 0.4382176950740605, 0.5665934030500609, 0.531938995393838, 0.945660595973503, 0.7502546552583162, 0.6987936001051596, 0.4803714570428733, 0.874932378029583, 0.6985366313486181];0.01;0.006205117097124457;0.0005395309816514114;0.0006557141983648762;0.0003440760797337877;0.9039834043641717;0.03229128779490714;0.6440184118689245;0.1688283775070756
'timm-regnetx_064';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004326922819018364, 0.003577563911676407, 0.004786716774106026, 0.004850979894399643, 0.00403076084330678, 0.003986731171607971, 0.00429465202614665, 0.004172038286924362, 0.003874029265716672, 0.003594979178160429];[0.016375675797462463, 0.013601669110357761, 0.013028038665652275, 0.013617511838674545, 0.013801885768771172, 0.01622719317674637, 0.013593707233667374, 0.015561472624540329, 0.013064149767160416, 0.014423341490328312];[0.8832679163543159, 0.9585086877036125, 0.9019112233416386, 0.8407935839772571, 0.9197374818594893, 0.9512003528218484, 0.8238535778230771, 0.9919951856582452, 0.8077642935461007, 0.890436448992114];[0.6638740831852808, 0.7084940218472666, 0.6939468781839682, 0.695679798741651, 0.6862122312594108, 0.6681969383011792, 0.6951341163426569, 0.6516234647103231, 0.6978613141822341, 0.6833302445228548];0.01;0.00414953741710633;0.0004125840790050513;0.014329464547336102;0.0012027461528461754;0.8969468752077698;0.0574372606325218;0.6844353091276826;0.016905314819098283
'timm-regnetx_064';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.006678193807601929, 0.007994349114596844, 0.009625663049519062, 0.005921689793467522, 0.006626498885452747, 0.008002535440027714, 0.006571602541953325, 0.0075139328837394714, 0.00748639227822423, 0.0077385795302689075];[0.016142476350069046, 0.014967169612646103, 0.017181679606437683, 0.0184397604316473, 0.016078200191259384, 0.014698601327836514, 0.017418131232261658, 0.019020002335309982, 0.01589391753077507, 0.013632850721478462];[0.011175229615735582, 0.03317922309577914, 0.015546081687984104, 0.01971669027905265, 0.013939710208961564, 0.019333133079140974, 0.03092151852345737, 0.016776042522685608, 0.016159302251914198, 0.010046011718788606];[0.012095618493703997, 0.016815707322314632, 0.013400237124042591, 0.012817757164366061, 0.015882086079891167, 0.01865398715968214, 0.013249979080413143, 0.011577048183641137, 0.016144002276104685, 0.019601206247046088];0.01;0.007415943732485175;0.0009896143595021123;0.01634727893397212;0.0016023645797309213;0.01867929429834998;0.007312466378572919;0.015023762913120565;0.002653991594073784
'timm-regnetx_064';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.0069249654188752174, 0.00657721608877182, 0.00765592884272337, 0.0075758881866931915, 0.0061845844611525536, 0.006926175206899643, 0.007755984552204609, 0.008136304095387459, 0.007557736709713936, 0.006338952109217644];[0.0006937079015187919, 0.0012254449538886547, 0.001073239604011178, 0.0002509038313291967, 0.00136394496075809, 0.0012950109085068107, 0.0008093769429251552, 0.0005269352695904672, 0.00035110657336190343, 0.0004962270613759756];[0.8460803928643564, 0.8269516415466351, 0.7974985218241792, 0.835357812512411, 0.9532867158444064, 0.7730540704319957, 0.7873097666007287, 0.7004156430258865, 0.9166233498003038, 0.7948630902336643];[0.37995238558110345, 0.44029584924650256, 0.44377877989876413, 0.5582473478939203, 0.47464392283460166, 0.47881226310205194, 0.39246254176097795, 0.5163282504894088, 0.5114897175300119, 0.6494402744497129];0.01;0.007163373567163944;0.0006293221625268943;0.0008085898007266223;0.00038719960678561775;0.8231441004684565;0.06832138181806134;0.4845451332787055;0.07584737450079285
