model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'timm-gernet_l';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.006017738487571478, 0.007133717183023691, 0.007799419574439526, 0.005460288375616074, 0.006764918565750122, 0.0047815944999456406, 0.005221209488809109, 0.006068878341466188, 0.005122257396578789, 0.0058609796687960625];[0.02259889990091324, 0.021710235625505447, 0.022746384143829346, 0.02682971954345703, 0.024572942405939102, 0.024067526683211327, 0.02302769385278225, 0.02186128869652748, 0.024870608001947403, 0.023158255964517593];[7.027337064180461e-05, 2.97959783542856e-05, 2.5071462248171805e-05, 6.752415396538147e-05, 3.235007162327719e-05, 2.9106185599703238e-05, 4.2476435015426084e-05, 5.667669526243646e-05, 5.875117069931157e-05, 5.533210655228604e-05];[1.690940444165623e-05, 1.877983965270502e-05, 1.6851401453576997e-05, 1.5268756516140236e-05, 1.627287159999824e-05, 1.6777185524285976e-05, 1.674264892848054e-05, 1.8452392645973426e-05, 1.655755685336935e-05, 1.7068019665278378e-05];0.01;0.006023100158199668;0.0009099517880465975;0.02354435548186302;0.0014841707438856264;4.673576299620841e-05;1.6110417973514652e-05;1.696800772814644e-05;9.560076257011189e-07
'timm-gernet_l';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.007525927387177944, 0.007954465225338936, 0.008537039160728455, 0.006479185540229082, 0.007378071546554565, 0.009029125794768333, 0.007574134971946478, 0.00854682456701994, 0.006468739826232195, 0.00709709944203496];[0.016130466014146805, 0.013901779428124428, 0.012068396434187889, 0.015475204214453697, 0.017018377780914307, 0.014727335423231125, 0.015414527617394924, 0.014491277746856213, 0.01902948133647442, 0.017699729651212692];[0.000967187161947658, 0.0015249804843536774, 0.001538348746718432, 0.0014386378116584275, 0.0010404993792476613, 0.00036078537411654565, 0.001510446891335393, 0.0011058340441519876, 0.000992358387489345, 0.0011475126395065205];[0.0016768636263004844, 0.0018187500260817835, 0.0019175009206238158, 0.0016579258858991919, 0.0017268094536246892, 0.0018752079567273539, 0.0016948919109616156, 0.0017835566811649217, 0.0016640824854036174, 0.0017600608866049638];0.01;0.007659061346203089;0.0008217039887834451;0.01559565756469965;0.0018936780969130399;0.0011626590920525647;0.00034614082053749016;0.0017575649833392437;8.596408166391e-05
'timm-gernet_l';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.013380879536271095, 0.00976458378136158, 0.009933201596140862, 0.011075442656874657, 0.011105558834969997, 0.00865275040268898, 0.010397901758551598, 0.01296303141862154, 0.011823592707514763, 0.00916364137083292];[0.0013090401189401746, 0.0006485319463536143, 0.0014144615270197392, 0.0007761720917187631, 0.0005682635819539428, 0.0014583118027076125, 0.0009644286474213004, 0.00013514897727873176, 0.0005855206400156021, 0.0008009647717699409];[0.0017673275313000447, 0.003163362247613488, 0.004109638774874913, 0.0014593918671997885, 0.0025461755782758555, 0.0005342978206367421, 0.008972696959004933, 0.0005616969844467468, 0.0005735432195944634, 0.007715472324169803];[1.1917490510660045e-05, 1.0327007299415492e-05, 2.3272416369346516e-05, 6.327384693838312e-05, 1.520423118661629e-05, 1.8937043301359147e-05, 3.333172063446632e-05, 7.420818701753262e-07, 1.1147808219980071e-05, 6.844717339038464e-05];0.01;0.010826058406382798;0.0014772708009676673;0.0008660844105179422;0.00040232646500257274;0.0031403603307116777;0.0028457226884262194;2.5660081972078697e-05;2.1725755167355277e-05
'se_resnext50_32x4d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.006492209620773792, 0.005459506995975971, 0.006920250132679939, 0.006080443039536476, 0.007744321133941412, 0.006651288829743862, 0.005201446823775768, 0.007650293409824371, 0.005845271050930023, 0.00705582182854414];[0.02387397736310959, 0.02516864612698555, 0.02320055663585663, 0.025808867067098618, 0.020312093198299408, 0.022803667932748795, 0.025089412927627563, 0.02036255970597267, 0.02600894123315811, 0.020159821957349777];[0.009575016908382916, 0.054167395738519475, 0.03161398442819374, 0.06625854690801969, 0.019134511930471443, 0.007565974252551122, 0.04616190417016164, 0.007845969381436668, 0.021550506984553297, 0.04787153042219672];[1.753956772587717e-05, 5.205528832430417e-07, 4.954049467320587e-07, 6.216266417169436e-07, 7.029361230870279e-07, 2.4946831786998303e-06, 1.6665633135848346e-05, 6.326886069496496e-07, 6.027780814488182e-07, 6.374422752974951e-07];0.01;0.006510085286572575;0.0008217392557771704;0.023278854414820672;0.002198287683038597;0.031174534112448672;0.020171447419575758;4.091331359890038e-06;6.532841603855992e-06
'se_resnext50_32x4d';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004492230247706175, 0.005219842307269573, 0.003615697380155325, 0.004746176768094301, 0.004185836296528578, 0.004783624317497015, 0.004898415878415108, 0.00406105350703001, 0.004517275840044022, 0.0049600424244999886];[0.009855823591351509, 0.010541974566876888, 0.011324096471071243, 0.009852061048150063, 0.010041117668151855, 0.012325560674071312, 0.010068467818200588, 0.008156883530318737, 0.009635590948164463, 0.008621340617537498];[0.9378576013882678, 0.9427789423979526, 0.9936146139480285, 0.8765465237270696, 0.9704392918989722, 0.9512389988718715, 0.9128716704992333, 0.9858797465050579, 0.9961256578601293, 0.9641554217749272];[0.8062943253050681, 0.9113542718912214, 0.883631229566519, 0.8275157796158146, 0.8462717339724017, 0.963623461330859, 0.8887617827169124, 0.8441476694622873, 0.8070419214319962, 0.8552093630603709];0.01;0.0045480194967240095;0.00045609834786487075;0.010042291693389415;0.001136527153969706;0.9531508468871511;0.035792557876275756;0.8633851538353451;0.04674714910940153
'se_resnext50_32x4d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.009128734469413757, 0.010964366607367992, 0.011385491117835045, 0.011647217907011509, 0.008188679814338684, 0.009561192244291306, 0.01254101563245058, 0.007924763485789299, 0.008945883251726627, 0.009415050968527794];[0.0006247839191928506, 0.000743040582165122, 0.000520942616276443, 0.00018681419896893203, 0.0006305502611212432, 0.0014691377291455865, 0.00115874910261482, 0.0010792011162266135, 0.0010467714164406061, 0.00012666686961892992];[1.5011842178669355e-05, 1.4272499746947886e-05, 1.082211195158056e-05, 1.567760895626602e-05, 2.379703213761797e-05, 2.276898145026074e-05, 2.3027579945322785e-05, 5.3383453687883e-05, 1.7493311292526847e-05, 8.450815949467838e-06];[6.0138008717403046e-05, 5.105851041964371e-05, 7.523232333495056e-05, 0.00021308881388804046, 6.18711679162276e-05, 2.599402071779e-05, 3.237591032689835e-05, 3.618207600319945e-05, 3.695209825915757e-05, 0.00032005222748476836];0.01;0.009970239549875259;0.0014833505920447006;0.0007586657811771147;0.000408425765193072;2.04705237296543e-05;1.2015664015997573e-05;9.129451570680792e-05;9.198008984854047e-05
'timm-skresnext50_32x4d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004620117135345936, 0.004006316885352135, 0.003298065159469843, 0.004116680473089218, 0.0034519268665462732, 0.002975326031446457, 0.0032762885093688965, 0.0031752735376358032, 0.003741205669939518, 0.004394701216369867];[0.014673618599772453, 0.013766023330390453, 0.01366185862571001, 0.013841538690030575, 0.01275288313627243, 0.013870706781744957, 0.01404530368745327, 0.013419028371572495, 0.012059133499860764, 0.014392346143722534];[0.7946345066530722, 0.7925787971416545, 0.898854081742403, 0.8418242448855738, 0.8226016644911057, 0.8786350921646936, 0.8855588767631867, 0.8461476059671085, 0.9775390279554058, 0.8955677058801474];[0.6816422091788226, 0.6817029445496922, 0.6777688861064264, 0.6700837672838564, 0.6969208640476834, 0.7276026230812873, 0.6982156668632543, 0.712813420710827, 0.7555757718122882, 0.6677689771220772];0.01;0.0037055901484563947;0.000529261459696147;0.013648244086652994;0.0007240946335231839;0.8633941603644353;0.05311741029692843;0.6970095130756215;0.02652889505602744
'timm-skresnext50_32x4d';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.0076766833662986755, 0.006614600773900747, 0.008803965523838997, 0.007576491683721542, 0.007053865119814873, 0.007099166512489319, 0.006781275384128094, 0.0066163609735667706, 0.007686528377234936, 0.005766009911894798];[0.016008321195840836, 0.016896672546863556, 0.0144889485090971, 0.014228521846234798, 0.015516567043960094, 0.018713772296905518, 0.01534024253487587, 0.01354983076453209, 0.01637905091047287, 0.016558777540922165];[1.6520362989491666e-05, 2.849398947435411e-05, 3.17465616955781e-05, 6.561394542281551e-05, 6.344551942616405e-05, 1.3306271939850234e-05, 3.7699469631169436e-05, 7.155985828144473e-05, 5.036817462555909e-05, 6.886296849295537e-05];[5.153634222043735e-06, 4.712349434554675e-06, 4.7494039253637155e-06, 5.321662194468502e-06, 4.772722591694922e-06, 4.3937480626032865e-06, 4.999766988089682e-06, 5.736219383045693e-06, 4.2281829162327256e-06, 5.098777213552452e-06];0.01;0.0071674947626888755;0.0007819418020437724;0.01576807051897049;0.0014205765781874326;4.476171219793823e-05;2.094103778396742e-05;4.916646693164939e-06;4.2069080798801476e-07
'timm-skresnext50_32x4d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005179153755307198, 0.006541900336742401, 0.005900433287024498, 0.006429989356547594, 0.00562573317438364, 0.006527258083224297, 0.006653276272118092, 0.006466861814260483, 0.006311285775154829, 0.005003912840038538];[0.0008048628224059939, 0.0005653833504766226, 0.000537376559805125, 0.0010376645950600505, 0.00020812441653106362, 0.001549028791487217, 0.0007087229168973863, 0.0010649365140125155, 0.001916529145091772, 0.00036079128040000796];[0.9116851949482381, 0.8963467756301278, 0.8990507305386595, 0.8325565316258347, 0.9415269705706846, 0.9535343205157483, 0.8752310285500878, 0.9050585668237987, 0.9290668945417897, 0.9514605047359936];[0.32328219767144284, 0.19850823516644722, 0.3350717769410074, 0.37879601306734956, 0.8063943971442324, 0.3712968424063944, 0.31428060043704376, 0.5331240777155635, 0.40698405053749886, 0.30590719146534195];0.01;0.006063980469480157;0.000572119651225073;0.0008753420392167754;0.0005052905354327452;0.9095517518480964;0.03536894745859939;0.39736453825523216;0.15844012292036103
'densenet161';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.006978785153478384, 0.0052596768364310265, 0.006023179739713669, 0.004758577793836594, 0.005988226272165775, 0.007915286347270012, 0.006089505739510059, 0.006056435406208038, 0.005564229562878609, 0.005950308404862881];[0.026401828974485397, 0.0239523034542799, 0.0226175207644701, 0.022173475474119186, 0.02471098303794861, 0.02456737495958805, 0.024925531819462776, 0.022436751052737236, 0.02205224335193634, 0.024399198591709137];[0.10255421696658362, 0.08101191758882698, 0.004764401461259227, 0.06056876873771222, 0.011271590657997876, 0.01752267614883274, 0.04372750282320892, 0.060737980338870234, 0.11208544192040526, 0.06218097512176779];[0.01595850343697569, 0.014686576487096925, 0.012441175030003082, 0.014826227999959918, 0.013795564851281528, 0.011790815890475814, 0.01225350363031985, 0.015333130601207778, 0.013774481246408787, 0.015612972778493717];0.01;0.006058421125635505;0.0008297985690486254;0.023823721148073674;0.0013707165588762386;0.055642547176546486;0.03503648464894276;0.014047295195222308;0.0014071125557944463
'densenet161';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.0041208164766430855, 0.004845562390983105, 0.0050972504541277885, 0.004088692832738161, 0.0043566301465034485, 0.005214185919612646, 0.0033335599582642317, 0.004794990178197622, 0.0039723715744912624, 0.00521042151376605];[0.010018717497587204, 0.010755922645330429, 0.009602188132703304, 0.009923935867846012, 0.009564798325300217, 0.012271208688616753, 0.01017061248421669, 0.010339176282286644, 0.01097555086016655, 0.009229212999343872];[0.8980872330172336, 0.9335533530257067, 0.9250832266886772, 0.9958814055694876, 0.9754423453072782, 0.9502395583841572, 0.8865961147849555, 0.9148332280520998, 0.9820526130478189, 0.8686791369368729];[0.8277331767723866, 0.824214177106739, 0.9010924364443357, 0.8108494538047972, 0.8144883320310035, 0.9537968291807647, 0.8364580757841568, 0.8585827901244181, 0.9823807088335086, 0.8899334688015625];0.01;0.00450344814453274;0.0005958409859791126;0.010285132378339768;0.0008342994275991714;0.9330448214814288;0.04044894728036186;0.8699529448883672;0.057213603819762544
'densenet161';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006609295029193163, 0.005234412848949432, 0.006738281808793545, 0.00497877411544323, 0.008210219442844391, 0.006735209375619888, 0.0062717655673623085, 0.0064398134127259254, 0.006286693271249533, 0.005972635000944138];[0.0007554767653346062, 0.001347192795947194, 0.0004203865537419915, 0.00026527882437221706, 0.00022714652004651725, 0.0008277356391772628, 0.0003412094956729561, 0.0006004268070682883, 0.0007548184948973358, 0.0007187237497419119];[0.8660552482991543, 0.86907788901981, 0.8716415866344721, 0.9850952265070428, 0.828413093867413, 0.9112433511415534, 0.8429126656905414, 0.9101408070265535, 0.9285957386959363, 0.9183519424622973];[0.7077232493394515, 0.7676360539505227, 0.8121751766075203, 0.9846861634074178, 0.3365833507395295, 0.8454890625732859, 0.36454350254606827, 0.9911157683403404, 0.8634312924634697, 0.6775699517322907];0.01;0.0063477099873125555;0.0008433351143089975;0.0006258395646000281;0.00031874951994497266;0.8931527549344775;0.044104852899050265;0.7350953571699896;0.21533183700470515
'xception';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.007040876429527998, 0.006920130457729101, 0.00468406081199646, 0.005866655148565769, 0.005275765433907509, 0.005539456382393837, 0.005838137120008469, 0.0074152871966362, 0.00635948870331049, 0.007423250935971737];[0.025398295372724533, 0.02310345321893692, 0.022900141775608063, 0.020232349634170532, 0.023482149466872215, 0.027489006519317627, 0.022082136943936348, 0.020395519211888313, 0.020583275705575943, 0.025499161332845688];[5.056983089390954e-06, 0.00023193971214541254, 4.00420098883858e-05, 3.8377093777630655e-05, 5.619599570527711e-05, 0.00020767500460061594, 0.00028955168113886653, 0.00032314286055723507, 0.0003250251276959437, 0.0004926570427220556];[1.5537727726222528e-05, 1.5464788848396083e-05, 4.8809900948243445e-05, 5.641879611872902e-05, 2.842608484510123e-05, 2.05571436379115e-05, 1.711927311365269e-05, 4.368445817160005e-05, 4.098219923520663e-05, 1.5520611368891046e-05];0.1;0.006236310862004757;0.0008967631397183751;0.023116548918187617;0.0023106784947185786;0.00020096635113208138;0.00015359807986540302;3.025209840139542e-05;1.4988805721209682e-05
'xception';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.003934729378670454, 0.003868900705128908, 0.0035186163149774075, 0.0057143354788422585, 0.004907376132905483, 0.0032680174335837364, 0.0038932422176003456, 0.005013025365769863, 0.005777565762400627, 0.0042219823226332664];[0.008731190115213394, 0.00985250435769558, 0.009406136348843575, 0.008013646118342876, 0.009437484666705132, 0.010938162915408611, 0.009846359491348267, 0.008623655885457993, 0.008410775102674961, 0.008681945502758026];[0.870637622091681, 0.9076773567656705, 0.9680413233058367, 0.8690079442489818, 0.9864641018457557, 0.9328865556694846, 0.9787160010051981, 0.8150367294618838, 0.8887140243786751, 0.8634012764557844];[0.7554027191699686, 0.8860763416841322, 0.8086987012849194, 0.7782774808131945, 0.8280277180937081, 0.8410384942785398, 0.7442653293011399, 0.7901680047245233, 0.7266551606140295, 0.7824601410467609];0.1;0.004411779111251235;0.0008427494901712849;0.009194186050444841;0.0008254667267760645;0.9080582935228951;0.05413061214560618;0.7941070091010916;0.0457800837062649
'xception';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005880351644009352, 0.008038690313696861, 0.005469640251249075, 0.005484931170940399, 0.0045207589864730835, 0.005532930605113506, 0.005419113673269749, 0.005583683028817177, 0.00583341158926487, 0.0045222267508506775];[0.0005012322799302638, 0.0003387808392290026, 0.000644239888060838, 0.00133246008772403, 0.0009943477343767881, 0.0008076871163211763, 0.0013131450396031141, 0.001217390294186771, 7.863759674364701e-05, 0.0004965054104104638];[0.9794124685425195, 0.8133732090258067, 0.9590826988023573, 0.8871932628822924, 0.9405058299794307, 0.8701148166502487, 0.9626839915003595, 0.8750126746716003, 0.9106824338961998, 0.8730632083094956];[0.5683854481306465, 0.6419025174909336, 0.5502177679411266, 0.4025931065181897, 0.6803920693136487, 0.4442249479760102, 0.5536178010225916, 0.6430371534915108, 0.4224858750780004, 0.5865732087229546];0.1;0.005628573801368475;0.0009201195080546534;0.0007724426286586095;0.0004110962710683605;0.9071124594260311;0.049886520124363794;0.5493429895685613;0.09217674647189011
'timm-efficientnet-b5';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0047070602886378765, 0.0036068083718419075, 0.0036580110900104046, 0.00437253899872303, 0.003803226863965392, 0.003467707661911845, 0.0044000656343996525, 0.0042976923286914825, 0.0032225465402007103, 0.003647583071142435];[0.01428475696593523, 0.015012770891189575, 0.013368664309382439, 0.014171019196510315, 0.01473762933164835, 0.013011554256081581, 0.016879716888070107, 0.015626544132828712, 0.013539426028728485, 0.015596572309732437];[0.7208762120029373, 0.8559176302359497, 0.8182379163900267, 0.7134302682502065, 0.8092870006387691, 0.8521656605349627, 0.7646237357568311, 0.7896563387817865, 0.8265970301694088, 0.7537682174441938];[0.6674469698620287, 0.6489593891129779, 0.6546918575926036, 0.6542780242078765, 0.690350813159454, 0.654735049274149, 0.5960573560227804, 0.6694712483881592, 0.6631094621548008, 0.6542445172909872];0.1;0.003918324084952474;0.0004629174533218744;0.014622865431010722;0.001134712253846838;0.7904560010205073;0.04828475094035038;0.6553344687065817;0.02278299843235754
